user_id,n_days,n_points,points_day,meandist_km,mediandist_km,mindist_km,maxdist_km,meandist_weekday_km,mediandist_weekday_km,meandist_weekend_km,mediandist_weekend_km
8230bd93-5ab5-3788-fba3-d944e49e56f3,30,26296,876.5333333,1254.25,114.2,9.26,11386.81,1587.77,113.07,158.4,153.36
5c7f6a08-66a1-aaae-8b28-dea95628df74,15,13434,895.6,156.53,98.02,16.32,751.97,186.42,134.37,74.32,86.07
a4c3bb27-acd4-5211-881a-625b530af350,15,13920,928,744.029,99.51,0.228,4027.241,840.58,101.92,550.9301,47.5663
647473a1-f00d-02c4-c67d-4e012347bd33,44,41440,941.8181818,157.889-,17.9061,0.1314,1089.2111,145.4158,23.3405,191.1509,4.3725
55d715cd-a73b-9a58-dce1-881c1ac33cb5,66,73152,1108.363636,3126.73,269.53,0.27,47420.07,3608.61,187.32,2018.419,373.129
7ad375c6-693f-6d63-8b6f-c9ced44444f7,49,57322,1169.836735,4530.058618,528.5,2.35,37841.55,4235.35,528.5,5266.84,490.63
e2ebf967-bfa1-0df8-0ef8-8d6c4034527d,27,33182,1228.962963,241.1065,136.67,0.2237,1767.97,173.2065,104.05,478.75,275
091ae7fb-7097-cd56-0576-f48b684834c5,56,72322,1291.464286,28165.3,101.3,0.1,803557.5,19225.1,156.1,50516.2,71.5
7e5bf369-2272-5569-f100-ee15786b86e8,53,71400,1347.169811,1135,403.86,10.18,16032.76,1417.65,406.13,418.95,340.13
a1261422-0f44-d7f9-da7b-09249d24cd2e,45,78048,1734.4,1032.77,143.61,3.072,11311.097,1017.55,111.86,1070.224,830.354
796062c9-1fa4-07f2-35d1-1f0a9376e811,27,60988,2258.814815,1653.5,804.8,184.6,10357,1315.3,751,2456.8,1352.5
a81a9737-26b5-1439-28dd-02e5c1c1d1ba,17,41450,2438.235294,5491.2,101.29,1.53,82682.38,7366.02,109.31,991.63,76.18
ea641ea2-133f-527f-bffe-aa56784ea0bf,21,59326,2825.047619,1211.089,57.974,3.372,14577.636,329.563,43.431,3413.9,400.49
bdfcf0ac-7962-8628-af31-36cce49b0cbf,8,23004,2875.5,244.2,97.6,47.4,1287.2,304.04,117.4,64.78,64.78
9e354d46-cd26-6eb6-bfb2-ca9f43d51286,16,47398,2962.375,320.883,54.757,2.795,1554.648,238.62.55,62.55,458.77,37.72
0e33ad82-99cc-e2a6-0b6b-4a55eb865706,11,35796,3254.181818,34236.74,6.26,0.07,188183.62,37660.41,10.66,0.07296,0.07296
479514a4-3e65-dae1-6e44-72255e2cf2db,10,41850,4185,3884.61,516.07,0.003,18203.375,5383.447,2340.695,387.3,229.3
6c363547-77c1-6ef8-1e77-64cff8ec2ed0,8,40782,5097.75,1805.569,34.906,1.604,7260.715,2398.929,106.069,25.49,25.49
